"COMMON_NAME","SCIENTIFIC_NAME","SITECLCD","site","SPCD","BA_GROW","BA_GROW_AC","BA_GROW_VAR","BA_GROW_AC_VAR","nPlots_TREE","N"
"Alaska yellow-cedar","Chamaecyparis nootkatensis",2,"165-224 cubic feet/acre/year",42,9.55370061164594,0.204003512848362,9.66940820909675,0.0119000510071256,6,2621
"Alaska yellow-cedar","Chamaecyparis nootkatensis",3,"120-164 cubic feet/acre/year",42,10.8149649309077,1.20676317217907,8.08131559220407,0.18126940482476,27,20188
"Alaska yellow-cedar","Chamaecyparis nootkatensis",4,"85-119 cubic feet/acre/year",42,7.03187431064712,4.85761004769045,3.55922179118103,4.17672667056833,25,13582
"Alaska yellow-cedar","Chamaecyparis nootkatensis",5,"50-84 cubic feet/acre/year",42,3.93920188387716,2.82627673328876,0.386439312925323,0.446179443643693,35,13871
"Alaska yellow-cedar","Chamaecyparis nootkatensis",6,"20-49 cubic feet/acre/year",42,4.377346240048,3.5770356026084,0.501841943782162,1.3544254868078,30,13582
"Alaska yellow-cedar","Chamaecyparis nootkatensis",7,"0-19 cubic feet/acre/year",42,6.94790660408928,2.38179580091263,4.73420383848114,1.08349476526658,13,7427
"bigleaf maple","Acer macrophyllum",1,"225+ cubic feet/acre/year",312,16.1952163979998,10.3120138825764,13.6991239155066,23.6788947351611,9,19947
"bigleaf maple","Acer macrophyllum",2,"165-224 cubic feet/acre/year",312,17.2635392155168,92.8296462244653,0.888683572616482,100.519846088199,254,20236
"bigleaf maple","Acer macrophyllum",3,"120-164 cubic feet/acre/year",312,15.760963285709,82.5429638976927,0.623796361488928,105.006668095092,314,20477
"bigleaf maple","Acer macrophyllum",4,"85-119 cubic feet/acre/year",312,13.6310548238563,22.6415251595205,2.73782526557776,19.7127664048351,141,20477
"bigleaf maple","Acer macrophyllum",5,"50-84 cubic feet/acre/year",312,13.0590414258779,4.63614521873466,5.55749108603511,1.33431115481557,43,20477
"bigleaf maple","Acer macrophyllum",6,"20-49 cubic feet/acre/year",312,11.0333827355173,3.14567465383152,0.95478456048823,3.4991111198753,11,19947
"bigleaf maple","Acer macrophyllum",7,"0-19 cubic feet/acre/year",312,15.2472638646561,3.70028909070855,8.99741907484466,3.83398787810482,8,20188
"bitter cherry","Prunus emarginata",2,"165-224 cubic feet/acre/year",768,11.6483046869928,4.98522878501261,2.6395705266758,2.16423308393965,43,20236
"bitter cherry","Prunus emarginata",3,"120-164 cubic feet/acre/year",768,9.4310702274505,2.48121248692226,1.72049079051564,0.278628318958974,44,19947
"bitter cherry","Prunus emarginata",4,"85-119 cubic feet/acre/year",768,9.51946632755418,0.615575066978104,3.43994365560868,0.0547776325190701,17,19947
"bitter cherry","Prunus emarginata",5,"50-84 cubic feet/acre/year",768,4.73263564843179,0.0985011082141128,2.01328905351604,0.00282993393008418,13,20236
"bitter cherry","Prunus emarginata",6,"20-49 cubic feet/acre/year",768,8.07269188284075,0.19518933664718,0.871366481013736,0.0336298289667347,3,20236
"bitter cherry","Prunus emarginata",7,"0-19 cubic feet/acre/year",768,5.45987518236734,0.0718451585027676,9.73888326105775e-15,0.00478361587237998,1,11171
"black cottonwood","Populus balsamifera",1,"225+ cubic feet/acre/year",747,94.913593098588,1.499131688001,802.020079025503,1.1271024778874,3,4565
"black cottonwood","Populus balsamifera",2,"165-224 cubic feet/acre/year",747,43.1253199416236,16.3606928007649,31.600304879778,19.2074421290622,35,19947
"black cottonwood","Populus balsamifera",3,"120-164 cubic feet/acre/year",747,41.1263557094464,15.9412882913753,19.5777943656215,12.9859784714978,55,20188
"black cottonwood","Populus balsamifera",4,"85-119 cubic feet/acre/year",747,41.48388913507,8.7218322431656,55.4733665188101,12.5400262991727,24,19947
"black cottonwood","Populus balsamifera",5,"50-84 cubic feet/acre/year",747,33.4710276183258,1.45678088223813,60.8605657678388,0.332878107815936,18,19947
"black cottonwood","Populus balsamifera",6,"20-49 cubic feet/acre/year",747,17.8258755374925,0.0649801712681705,15.8388269911488,0.00115881209121212,4,15382
"black cottonwood","Populus balsamifera",7,"0-19 cubic feet/acre/year",747,40.0071045504249,17.8052466251065,147.105369239431,75.0930615323235,12,19947
"black locust","Robinia pseudoacacia",2,"165-224 cubic feet/acre/year",901,11.7673289464264,0.684990090459695,-3.8955533044231e-14,0.435603293188684,1,6606
"Brewer spruce","Picea breweriana",6,"20-49 cubic feet/acre/year",92,3.7516173743134,0.0315956666456113,-4.85542688425977e-15,0.000943673869174126,1,6155
"California black oak","Quercus kelloggii",2,"165-224 cubic feet/acre/year",818,11.0990915817472,0.142052615261324,2.10425170401884,0.0106387270106703,2,6606
"California black oak","Quercus kelloggii",3,"120-164 cubic feet/acre/year",818,6.24729594248487,0.383323603784529,3.69844033813126,0.0256201014056669,13,12761
"California black oak","Quercus kelloggii",4,"85-119 cubic feet/acre/year",818,4.98482699899576,2.32743570124932,0.550049874200885,0.428566971974333,20,12761
"California black oak","Quercus kelloggii",5,"50-84 cubic feet/acre/year",818,3.72677004547222,2.30935660478116,0.13394472685768,0.388642664691621,41,12761
"California black oak","Quercus kelloggii",6,"20-49 cubic feet/acre/year",818,5.6834571053694,2.4971743177681,1.03632322397645,0.567831475713734,20,12761
"California black oak","Quercus kelloggii",7,"0-19 cubic feet/acre/year",818,7.0782789545979,3.53521384044258,1.09913761294462,1.28137861325376,13,6606
"California laurel","Umbellularia californica",2,"165-224 cubic feet/acre/year",981,10.1114976175908,3.26970004132062,3.0873975958765,2.158207550994,13,12761
"California laurel","Umbellularia californica",3,"120-164 cubic feet/acre/year",981,10.7523052616482,5.16110248989715,2.48982580110252,2.52940153102614,30,13050
"California laurel","Umbellularia californica",4,"85-119 cubic feet/acre/year",981,6.64431761736835,3.32323637412403,0.513162144973759,1.3015291488299,26,13050
