"COMMON_NAME","SCIENTIFIC_NAME","SITECLCD","site","SPCD","BA_GROW","BA_GROW_AC","BA_GROW_VAR","BA_GROW_AC_VAR","nPlots_TREE","N"
"Alaska yellow-cedar","Chamaecyparis nootkatensis",2,"165-224 cubic feet/acre/year",42,4.53025216643285,0.133384706137482,24.3670883996467,0.0133681838332467,7,2621
"Alaska yellow-cedar","Chamaecyparis nootkatensis",3,"120-164 cubic feet/acre/year",42,-2.06928775103997,-0.375055850050758,81.2764721141116,2.67850561213926,36,20188
"Alaska yellow-cedar","Chamaecyparis nootkatensis",4,"85-119 cubic feet/acre/year",42,4.65718169689274,3.63700300269241,4.9962721569595,4.4530811454826,26,13582
"Alaska yellow-cedar","Chamaecyparis nootkatensis",5,"50-84 cubic feet/acre/year",42,2.2751396664998,2.03235415466016,2.44416828624651,2.06619584077674,39,13871
"Alaska yellow-cedar","Chamaecyparis nootkatensis",6,"20-49 cubic feet/acre/year",42,3.7005684695547,3.17196871403281,0.849584684293171,1.43216103342254,30,13582
"Alaska yellow-cedar","Chamaecyparis nootkatensis",7,"0-19 cubic feet/acre/year",42,0.873900472686862,0.344502331672912,16.4068448521991,2.42006264471363,17,7427
"bigleaf maple","Acer macrophyllum",1,"225+ cubic feet/acre/year",312,2.37200676544528,2.75630904156776,40.1758132168536,60.3320668595009,14,19947
"bigleaf maple","Acer macrophyllum",2,"165-224 cubic feet/acre/year",312,12.7997953246811,110.107510312284,1.68489697845696,227.371586345398,334,20236
"bigleaf maple","Acer macrophyllum",3,"120-164 cubic feet/acre/year",312,11.4093970402355,87.4847640289776,0.748913405550115,166.094572891722,413,20477
"bigleaf maple","Acer macrophyllum",4,"85-119 cubic feet/acre/year",312,11.1969058881981,26.798945929849,2.50240005721883,35.3897706186541,181,20477
"bigleaf maple","Acer macrophyllum",5,"50-84 cubic feet/acre/year",312,1.87220523681551,0.983274478445025,26.8702315663024,7.59507717728145,62,20477
